,county,date,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,new_tests,cumulative_total_tests,new_diagnoses,cumulative_positive_tests,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients
37051,San Diego,2/21/2022,County,3370418,557,734393,6,5220,14410,10480437,739,875799,574,15,589
37107,San Diego,2/22/2022,County,3370418,606,734999,7,5227,20193,10500630,924,876723,562,22,584
37163,San Diego,2/23/2022,County,3370418,515,735514,3,5230,17102,10517732,743,877466,532,14,546
37219,San Diego,2/24/2022,County,3370418,494,736008,4,5234,16008,10533740,735,878201,497,11,508
37275,San Diego,2/25/2022,County,3370418,406,736414,5,5239,13345,10547085,594,878795,493,10,503
37331,San Diego,2/26/2022,County,3370418,279,736693,9,5248,7035,10554120,408,879203,450,11,461
37387,San Diego,2/27/2022,County,3370418,222,736915,2,5250,5706,10559826,321,879524,435,23,458
37443,San Diego,2/28/2022,County,3370418,467,737382,8,5258,20682,10580508,700,880224,424,18,442
37499,San Diego,3/1/2022,County,3370418,383,737765,5,5263,18974,10599482,618,880842,417,27,444
37555,San Diego,3/2/2022,County,3370418,417,738182,5,5268,16277,10615759,601,881443,391,20,411
37611,San Diego,3/3/2022,County,3370418,353,738535,3,5271,14781,10630540,467,881910,377,18,395
37667,San Diego,3/4/2022,County,3370418,338,738873,6,5277,13825,10644365,463,882373,346,14,360
37723,San Diego,3/5/2022,County,3370418,234,739107,5,5282,6685,10651050,299,882672,314,16,330
37779,San Diego,3/6/2022,County,3370418,185,739292,5,5287,5264,10656314,255,882927,308,16,324
37835,San Diego,3/7/2022,County,3370418,386,739678,2,5289,20893,10677207,543,883470,294,14,308
37891,San Diego,3/8/2022,County,3370418,337,740015,2,5291,20036,10697243,445,883915,272,11,283
37947,San Diego,3/9/2022,County,3370418,339,740354,4,5295,17316,10714559,438,884353,261,12,273
38003,San Diego,3/10/2022,County,3370418,268,740622,4,5299,14135,10728694,361,884714,253,13,266
38059,San Diego,3/11/2022,County,3370418,253,740875,2,5301,13017,10741711,342,885056,235,18,253
38115,San Diego,3/12/2022,County,3370418,164,741039,2,5303,6322,10748033,218,885274,225,7,232
38171,San Diego,3/13/2022,County,3370418,121,741160,2,5305,5235,10753268,173,885447,218,9,227
38227,San Diego,3/14/2022,County,3370418,335,741495,1,5306,20040,10773308,455,885902,221,6,227
38283,San Diego,3/15/2022,County,3370418,296,741791,2,5308,16966,10790274,397,886299,219,17,236
38339,San Diego,3/16/2022,County,3370418,241,742032,2,5310,15259,10805533,322,886621,212,12,224
38395,San Diego,3/17/2022,County,3370418,204,742236,4,5314,13008,10818541,279,886900,205,13,218
38451,San Diego,3/18/2022,County,3370418,175,742411,2,5316,12407,10830948,245,887145,200,9,209
38507,San Diego,3/19/2022,County,3370418,107,742518,1,5317,5579,10836527,170,887315,203,6,209
38563,San Diego,3/20/2022,County,3370418,98,742616,1,5318,4771,10841298,136,887451,192,6,198
38619,San Diego,3/21/2022,County,3370418,235,742851,3,5321,16632,10857930,352,887803,185,10,195
38675,San Diego,3/22/2022,County,3370418,224,743075,2,5323,13625,10871555,285,888088,171,20,191
38731,San Diego,3/23/2022,County,3370418,195,743270,0,5323,12788,10884343,263,888351,160,17,177
38787,San Diego,3/24/2022,County,3370418,192,743462,3,5326,10889,10895232,267,888618,162,8,170
38843,San Diego,3/25/2022,County,3370418,206,743668,3,5329,10222,10905454,271,888889,162,12,174
38899,San Diego,3/26/2022,County,3370418,120,743788,0,5329,5256,10910710,155,889044,155,6,161
38955,San Diego,3/27/2022,County,3370418,124,743912,0,5329,5248,10915958,153,889197,150,9,159
39011,San Diego,3/28/2022,County,3370418,253,744165,1,5330,14134,10930092,305,889502,140,10,150
39067,San Diego,3/29/2022,County,3370418,234,744399,2,5332,11682,10941774,287,889789,134,14,148
39123,San Diego,3/30/2022,County,3370418,239,744638,1,5333,11477,10953251,291,890080,133,12,145
39179,San Diego,3/31/2022,County,3370418,228,744866,0,5333,8499,10961750,253,890333,130,13,143
39235,San Diego,4/1/2022,County,3370418,234,745100,0,5333,10109,10971859,287,890620,132,13,145
39291,San Diego,4/2/2022,County,3370418,145,745245,1,5334,4964,10976823,173,890793,133,18,151
39347,San Diego,4/3/2022,County,3370418,122,745367,2,5336,4336,10981159,131,890924,119,21,140
39403,San Diego,4/4/2022,County,3370418,324,745691,1,5337,15648,10996807,373,891297,117,8,125
39459,San Diego,4/5/2022,County,3370418,317,746008,3,5340,13274,11010081,363,891660,110,15,125
39515,San Diego,4/6/2022,County,3370418,307,746315,1,5341,12675,11022756,340,892000,122,9,131
39571,San Diego,4/7/2022,County,3370418,294,746609,0,5341,11482,11034238,346,892346,115,14,129
39627,San Diego,4/8/2022,County,3370418,266,746875,0,5341,11156,11045394,278,892624,116,14,130
39683,San Diego,4/9/2022,County,3370418,166,747041,0,5341,5359,11050753,184,892808,111,19,130
39739,San Diego,4/10/2022,County,3370418,144,747185,0,5341,4839,11055592,176,892984,108,14,122
39795,San Diego,4/11/2022,County,3370418,328,747513,0,5341,15334,11070926,344,893328,113,19,132
39851,San Diego,4/12/2022,County,3370418,323,747836,1,5342,12847,11083773,356,893684,106,9,115
39907,San Diego,4/13/2022,County,3370418,328,748164,3,5345,12067,11095840,371,894055,109,8,117
39963,San Diego,4/14/2022,County,3370418,283,748447,2,5347,9218,11105058,310,894365,105,14,119
40019,San Diego,4/15/2022,County,3370418,274,748721,2,5349,9368,11114426,323,894688,103,5,108
40075,San Diego,4/16/2022,County,3370418,192,748913,0,5349,4880,11119306,231,894919,96,11,107
40131,San Diego,4/17/2022,County,3370418,148,749061,0,5349,3166,11122472,160,895079,107,3,110
40187,San Diego,4/18/2022,County,3370418,481,749542,1,5350,15546,11138018,510,895589,95,10,105
40243,San Diego,4/19/2022,County,3370418,470,750012,3,5353,13171,11151189,482,896071,100,13,113
40299,San Diego,4/20/2022,County,3370418,463,750475,0,5353,12274,11163463,498,896569,90,13,103
40355,San Diego,4/21/2022,County,3370418,438,750913,0,5353,11906,11175369,460,897029,89,14,103
40411,San Diego,4/22/2022,County,3370418,419,751332,0,5353,11220,11186589,485,897514,104,13,117
40467,San Diego,4/23/2022,County,3370418,314,751646,0,5353,5206,11191795,352,897866,97,11,108
40523,San Diego,4/24/2022,County,3370418,261,751907,1,5354,4555,11196350,294,898160,98,17,115
40579,San Diego,4/25/2022,County,3370418,628,752535,1,5355,15996,11212346,661,898821,96,8,104
40635,San Diego,4/26/2022,County,3370418,670,753205,0,5355,12965,11225311,668,899489,102,11,113
40691,San Diego,4/27/2022,County,3370418,658,753863,0,5355,12258,11237569,605,900094,103,14,117
40747,San Diego,4/28/2022,County,3370418,571,754434,0,5355,10325,11247894,597,900691,95,23,118
40803,San Diego,4/29/2022,County,3370418,535,754969,0,5355,10168,11258062,577,901268,96,16,112
40859,San Diego,4/30/2022,County,3370418,412,755381,2,5357,5253,11263315,435,901703,97,14,111
40915,San Diego,5/1/2022,County,3370418,370,755751,0,5357,4410,11267725,397,902100,84,9,93
40971,San Diego,5/2/2022,County,3370418,874,756625,1,5358,17553,11285278,899,902999,92,12,104
41027,San Diego,5/3/2022,County,3370418,859,757484,0,5358,15917,11301195,911,903910,100,13,113
41083,San Diego,5/4/2022,County,3370418,839,758323,1,5359,15850,11317045,868,904778,104,12,116
41139,San Diego,5/5/2022,County,3370418,746,759069,0,5359,14182,11331227,782,905560,102,6,108
41195,San Diego,5/6/2022,County,3370418,735,759804,1,5360,12200,11343427,848,906408,101,13,114
41251,San Diego,5/7/2022,County,3370418,510,760314,0,5360,5759,11349186,536,906944,94,11,105
41307,San Diego,5/8/2022,County,3370418,482,760796,0,5360,5142,11354328,531,907475,97,11,108
41363,San Diego,5/9/2022,County,3370418,1024,761820,0,5360,18083,11372411,1099,908574,109,18,127
41419,San Diego,5/10/2022,County,3370418,970,762790,1,5361,16750,11389161,1046,909620,110,13,123
41475,San Diego,5/11/2022,County,3370418,1008,763798,0,5361,17093,11406254,1060,910680,110,11,121
41531,San Diego,5/12/2022,County,3370418,979,764777,1,5362,15001,11421255,1035,911715,117,8,125
41587,San Diego,5/13/2022,County,3370418,949,765726,1,5363,13520,11434775,1040,912755,116,14,130
41643,San Diego,5/14/2022,County,3370418,636,766362,0,5363,6403,11441178,673,913428,111,16,127
41699,San Diego,5/15/2022,County,3370418,598,766960,3,5366,6007,11447185,669,914097,110,15,125
41755,San Diego,5/16/2022,County,3370418,1496,768456,0,5366,20015,11467200,1605,915702,116,12,128
41811,San Diego,5/17/2022,County,3370418,1536,769992,0,5366,19120,11486320,1543,917245,120,9,129
41867,San Diego,5/18/2022,County,3370418,1507,771499,0,5366,18725,11505045,1590,918835,134,11,145
41923,San Diego,5/19/2022,County,3370418,1425,772924,0,5366,16924,11521969,1524,920359,132,14,146
41979,San Diego,5/20/2022,County,3370418,1228,774152,1,5367,14721,11536690,1351,921710,133,5,138
42035,San Diego,5/21/2022,County,3370418,795,774947,1,5368,6675,11543365,917,922627,142,10,152
42091,San Diego,5/22/2022,County,3370418,690,775637,0,5368,6107,11549472,782,923409,142,15,157
42147,San Diego,5/23/2022,County,3370418,1601,777238,2,5370,21020,11570492,1768,925177,158,10,168
42203,San Diego,5/24/2022,County,3370418,1716,778954,1,5371,19934,11590426,1829,927006,167,8,175
42259,San Diego,5/25/2022,County,3370418,1639,780593,2,5373,17837,11608263,1803,928809,169,11,180
42315,San Diego,5/26/2022,County,3370418,1459,782052,0,5373,15731,11623994,1618,930427,170,9,179
42371,San Diego,5/27/2022,County,3370418,1297,783349,2,5375,13406,11637400,1463,931890,176,10,186
42427,San Diego,5/28/2022,County,3370418,872,784221,1,5376,6507,11643907,942,932832,189,15,204
42483,San Diego,5/29/2022,County,3370418,655,784876,3,5379,4871,11648778,733,933565,174,13,187
42539,San Diego,5/30/2022,County,3370418,740,785616,1,5380,7578,11656356,770,934335,179,12,191
42595,San Diego,5/31/2022,County,3370418,2260,787876,1,5381,23259,11679615,2450,936785,193,17,210
42651,San Diego,6/1/2022,County,3370418,1862,789738,1,5382,18024,11697639,2014,938799,199,4,203
42707,San Diego,6/2/2022,County,3370418,1682,791420,0,5382,15919,11713558,1868,940667,202,13,215
42763,San Diego,6/3/2022,County,3370418,1368,792788,0,5382,13726,11727284,1552,942219,210,6,216
42819,San Diego,6/4/2022,County,3370418,937,793725,0,5382,7169,11734453,1091,943310,207,17,224
42875,San Diego,6/5/2022,County,3370418,722,794447,3,5385,5702,11740155,831,944141,213,16,229
42931,San Diego,6/6/2022,County,3370418,1884,796331,3,5388,16673,11756828,2024,946165,207,7,214
42987,San Diego,6/7/2022,County,3370418,1782,798113,0,5388,16470,11773298,1971,948136,213,14,227
43043,San Diego,6/8/2022,County,3370418,1561,799674,2,5390,14469,11787767,1788,949924,232,5,237
43099,San Diego,6/9/2022,County,3370418,1487,801161,2,5392,13556,11801323,1684,951608,240,9,249
43155,San Diego,6/10/2022,County,3370418,1397,802558,0,5392,11968,11813291,1602,953210,232,16,248
43211,San Diego,6/11/2022,County,3370418,912,803470,4,5396,6991,11820282,1044,954254,216,14,230
43267,San Diego,6/12/2022,County,3370418,698,804168,1,5397,5582,11825864,810,955064,208,14,222
43323,San Diego,6/13/2022,County,3370418,1729,805897,0,5397,15874,11841738,1818,956882,219,8,227
43379,San Diego,6/14/2022,County,3370418,1696,807593,1,5398,14694,11856432,1781,958663,218,11,229
43435,San Diego,6/15/2022,County,3370418,1702,809295,0,5398,13639,11870071,1724,960387,212,14,226
43491,San Diego,6/16/2022,County,3370418,1541,810836,0,5398,12940,11883011,1599,961986,226,10,236
43547,San Diego,6/17/2022,County,3370418,1512,812348,2,5400,11203,11894214,1622,963608,222,10,232
43603,San Diego,6/18/2022,County,3370418,960,813308,4,5404,6679,11900893,1088,964696,218,6,224
43659,San Diego,6/19/2022,County,3370418,716,814024,1,5405,5371,11906264,796,965492,220,19,239
43715,San Diego,6/20/2022,County,3370418,1524,815548,1,5406,13002,11919266,1714,967206,220,20,240
43771,San Diego,6/21/2022,County,3370418,1982,817530,2,5408,16169,11935435,2083,969289,222,12,234
43827,San Diego,6/22/2022,County,3370418,1677,819207,2,5410,13177,11948612,1753,971042,263,17,280
43883,San Diego,6/23/2022,County,3370418,1599,820806,1,5411,12632,11961244,1745,972787,256,20,276
43939,San Diego,6/24/2022,County,3370418,1464,822270,1,5412,10970,11972214,1593,974380,255,12,267
43995,San Diego,6/25/2022,County,3370418,1033,823303,1,5413,6393,11978607,1141,975521,272,11,283
44051,San Diego,6/26/2022,County,3370418,902,824205,2,5415,5500,11984107,1016,976537,271,19,290
44107,San Diego,6/27/2022,County,3370418,2172,826377,0,5415,15820,11999927,2302,978839,292,11,303
44163,San Diego,6/28/2022,County,3370418,1906,828283,2,5417,14210,12014137,2111,980950,300,16,316
44219,San Diego,6/29/2022,County,3370418,1851,830134,1,5418,12683,12026820,1997,982947,322,13,335
44275,San Diego,6/30/2022,County,3370418,1724,831858,2,5420,12251,12039071,1879,984826,301,7,308
44331,San Diego,7/1/2022,County,3370418,1507,833365,2,5422,10442,12049513,1713,986539,308,7,315
44387,San Diego,7/2/2022,County,3370418,1032,834397,1,5423,6181,12055694,1167,987706,330,15,345
44443,San Diego,7/3/2022,County,3370418,802,835199,2,5425,4798,12060492,948,988654,303,17,320
44499,San Diego,7/4/2022,County,3370418,729,835928,0,5425,4940,12065432,841,989495,305,22,327
44555,San Diego,7/5/2022,County,3370418,2615,838543,1,5426,18004,12083436,2861,992356,341,10,351
44611,San Diego,7/6/2022,County,3370418,2328,840871,0,5426,14983,12098419,2493,994849,353,8,361
44667,San Diego,7/7/2022,County,3370418,2116,842987,2,5428,13190,12111609,2248,997097,363,16,379
44723,San Diego,7/8/2022,County,3370418,1905,844892,5,5433,11768,12123377,2129,999226,364,19,383
44779,San Diego,7/9/2022,County,3370418,1246,846138,1,5434,6629,12130006,1435,1000661,360,19,379
44835,San Diego,7/10/2022,County,3370418,903,847041,0,5434,5174,12135180,1059,1001720,366,14,380
44891,San Diego,7/11/2022,County,3370418,2479,849520,2,5436,15814,12150994,2644,1004364,373,15,388
44947,San Diego,7/12/2022,County,3370418,2366,851886,3,5439,15559,12166553,2668,1007032,398,22,420
45003,San Diego,7/13/2022,County,3370418,2350,854236,2,5441,13235,12179788,2497,1009529,395,15,410
45059,San Diego,7/14/2022,County,3370418,1898,856134,1,5442,12338,12192126,2117,1011646,417,16,433
45115,San Diego,7/15/2022,County,3370418,1868,858002,1,5443,11807,12203933,2143,1013789,422,13,435
45171,San Diego,7/16/2022,County,3370418,1271,859273,3,5446,6645,12210578,1523,1015312,413,20,433
45227,San Diego,7/17/2022,County,3370418,910,860183,2,5448,5094,12215672,1068,1016380,434,13,447
45283,San Diego,7/18/2022,County,3370418,2356,862539,6,5454,15187,12230859,2330,1018710,454,22,476
45339,San Diego,7/19/2022,County,3370418,2308,864847,2,5456,15071,12245930,2289,1020999,447,16,463
45395,San Diego,7/20/2022,County,3370418,2080,866927,3,5459,12563,12258493,2070,1023069,461,18,479
45451,San Diego,7/21/2022,County,3370418,1814,868741,1,5460,12586,12271079,1874,1024943,463,10,473
45507,San Diego,7/22/2022,County,3370418,1667,870408,2,5462,10645,12281724,1743,1026686,465,12,477
45563,San Diego,7/23/2022,County,3370418,1071,871479,1,5463,5726,12287450,1147,1027833,463,18,481
45619,San Diego,7/24/2022,County,3370418,818,872297,4,5467,4913,12292363,955,1028788,440,6,446
45675,San Diego,7/25/2022,County,3370418,2054,874351,6,5473,14681,12307044,2101,1030889,434,14,448
45731,San Diego,7/26/2022,County,3370418,1779,876130,6,5479,13323,12320367,1851,1032740,437,12,449
45787,San Diego,7/27/2022,County,3370418,1683,877813,0,5479,12056,12332423,1738,1034478,450,14,464
45843,San Diego,7/28/2022,County,3370418,1431,879244,1,5480,10899,12343322,1508,1035986,436,14,450
45899,San Diego,7/29/2022,County,3370418,1345,880589,3,5483,9856,12353178,1501,1037487,438,17,455
45955,San Diego,7/30/2022,County,3370418,845,881434,3,5486,4960,12358138,922,1038409,437,11,448
46011,San Diego,7/31/2022,County,3370418,638,882072,3,5489,4316,12362454,799,1039208,425,14,439
46067,San Diego,8/1/2022,County,3370418,1602,883674,0,5489,13245,12375699,1562,1040770,442,15,457
46123,San Diego,8/2/2022,County,3370418,1419,885093,2,5491,13158,12388857,1492,1042262,428,18,446
46179,San Diego,8/3/2022,County,3370418,1154,886247,2,5493,10315,12399172,1245,1043507,420,15,435
46235,San Diego,8/4/2022,County,3370418,1212,887459,0,5493,10633,12409805,1264,1044771,389,17,406
46291,San Diego,8/5/2022,County,3370418,976,888435,2,5495,9211,12419016,1081,1045852,374,22,396
46347,San Diego,8/6/2022,County,3370418,657,889092,2,5497,4970,12423986,749,1046601,364,24,388
46403,San Diego,8/7/2022,County,3370418,553,889645,3,5500,4342,12428328,690,1047291,362,10,372
46459,San Diego,8/8/2022,County,3370418,1269,890914,1,5501,12177,12440505,1237,1048528,367,17,384
46515,San Diego,8/9/2022,County,3370418,1087,892001,3,5504,11994,12452499,1172,1049700,326,15,341
46571,San Diego,8/10/2022,County,3370418,899,892900,0,5504,9760,12462259,1040,1050740,326,13,339
46627,San Diego,8/11/2022,County,3370418,851,893751,2,5506,9832,12472091,915,1051655,346,18,364
46683,San Diego,8/12/2022,County,3370418,777,894528,4,5510,8545,12480636,879,1052534,331,15,346
46739,San Diego,8/13/2022,County,3370418,531,895059,1,5511,4405,12485041,595,1053129,316,12,328
46795,San Diego,8/14/2022,County,3370418,445,895504,3,5514,3761,12488802,507,1053636,315,14,329
46851,San Diego,8/15/2022,County,3370418,892,896396,1,5515,11504,12500306,960,1054596,322,12,334
46907,San Diego,8/16/2022,County,3370418,839,897235,2,5517,11075,12511381,869,1055465,310,14,324
46963,San Diego,8/17/2022,County,3370418,815,898050,0,5517,9450,12520831,852,1056317,301,9,310
47019,San Diego,8/18/2022,County,3370418,740,898790,0,5517,9269,12530100,779,1057096,301,11,312
47075,San Diego,8/19/2022,County,3370418,641,899431,1,5518,7970,12538070,742,1057838,311,10,321
47131,San Diego,8/20/2022,County,3370418,498,899929,0,5518,4435,12542505,533,1058371,301,7,308
47187,San Diego,8/21/2022,County,3370418,381,900310,1,5519,3843,12546348,453,1058824,304,12,316
47243,San Diego,8/22/2022,County,3370418,854,901164,2,5521,11781,12558129,894,1059718,315,4,319
47299,San Diego,8/23/2022,County,3370418,683,901847,2,5523,11216,12569345,821,1060539,308,14,322
47355,San Diego,8/24/2022,County,3370418,615,902462,0,5523,9735,12579080,705,1061244,266,13,279
47411,San Diego,8/25/2022,County,3370418,561,903023,1,5524,8252,12587332,623,1061867,256,11,267
47467,San Diego,8/26/2022,County,3370418,543,903566,3,5527,7548,12594880,588,1062455,259,11,270
47523,San Diego,8/27/2022,County,3370418,421,903987,0,5527,4802,12599682,474,1062929,259,10,269
47579,San Diego,8/28/2022,County,3370418,336,904323,3,5530,3924,12603606,426,1063355,247,21,268
47635,San Diego,8/29/2022,County,3370418,758,905081,3,5533,11454,12615060,794,1064149,247,13,260
47691,San Diego,8/30/2022,County,3370418,628,905709,4,5537,11117,12626177,623,1064772,254,15,269
47747,San Diego,8/31/2022,County,3370418,527,906236,2,5539,9598,12635775,620,1065392,269,15,284
47803,San Diego,9/1/2022,County,3370418,467,906703,1,5540,8721,12644496,528,1065920,265,13,278
47859,San Diego,9/2/2022,County,3370418,419,907122,2,5542,7399,12651895,475,1066395,252,21,273
47915,San Diego,9/3/2022,County,3370418,270,907392,2,5544,3904,12655799,296,1066691,242,10,252
47971,San Diego,9/4/2022,County,3370418,244,907636,2,5546,3440,12659239,301,1066992,238,14,252
48027,San Diego,9/5/2022,County,3370418,239,907875,2,5548,4334,12663573,300,1067292,237,12,249
48083,San Diego,9/6/2022,County,3370418,621,908496,1,5549,12167,12675740,719,1068011,237,14,251
48139,San Diego,9/7/2022,County,3370418,507,909003,1,5550,9411,12685151,568,1068579,238,12,250
48195,San Diego,9/8/2022,County,3370418,491,909494,2,5552,8962,12694113,514,1069093,235,17,252
48251,San Diego,9/9/2022,County,3370418,377,909871,0,5552,7032,12701145,396,1069489,221,8,229
48307,San Diego,9/10/2022,County,3370418,262,910133,1,5553,4390,12705535,338,1069827,212,10,222
48363,San Diego,9/11/2022,County,3370418,227,910360,1,5554,3531,12709066,283,1070110,200,11,211
48419,San Diego,9/12/2022,County,3370418,539,910899,1,5555,10574,12719640,569,1070679,218,19,237
48475,San Diego,9/13/2022,County,3370418,480,911379,2,5557,10899,12730539,514,1071193,221,13,234
48531,San Diego,9/14/2022,County,3370418,402,911781,1,5558,9095,12739634,417,1071610,207,13,220
48587,San Diego,9/15/2022,County,3370418,379,912160,1,5559,8869,12748503,413,1072023,198,16,214
48643,San Diego,9/16/2022,County,3370418,356,912516,1,5560,7544,12756047,389,1072412,214,5,219
48699,San Diego,9/17/2022,County,3370418,275,912791,2,5562,4927,12760974,300,1072712,196,14,210
48755,San Diego,9/18/2022,County,3370418,177,912968,1,5563,4193,12765167,242,1072954,200,12,212
48811,San Diego,9/19/2022,County,3370418,479,913447,1,5564,10710,12775877,522,1073476,194,16,210
48867,San Diego,9/20/2022,County,3370418,428,913875,0,5564,10618,12786495,499,1073975,181,14,195
48923,San Diego,9/21/2022,County,3370418,409,914284,3,5567,8952,12795447,430,1074405,180,17,197
48979,San Diego,9/22/2022,County,3370418,378,914662,0,5567,7822,12803269,398,1074803,189,14,203
49035,San Diego,9/23/2022,County,3370418,362,915024,1,5568,6712,12809981,409,1075212,196,14,210
49091,San Diego,9/24/2022,County,3370418,245,915269,0,5568,3906,12813887,262,1075474,202,16,218
