,county,date,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,new_tests,cumulative_total_tests,new_diagnoses,cumulative_positive_tests,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients
49147,San Diego,9/25/2022,County,3370418,206,915475,2,5570,3248,12817135,230,1075704,214,11,225
49203,San Diego,9/26/2022,County,3370418,452,915927,1,5571,9969,12827104,481,1076185,216,13,229
49259,San Diego,9/27/2022,County,3370418,422,916349,2,5573,9634,12836738,441,1076626,211,18,229
49315,San Diego,9/28/2022,County,3370418,400,916749,2,5575,7561,12844299,429,1077055,201,11,212
49371,San Diego,9/29/2022,County,3370418,323,917072,2,5577,7060,12851359,373,1077428,180,19,199
49427,San Diego,9/30/2022,County,3370418,246,917318,0,5577,6171,12857530,311,1077739,191,11,202
49483,San Diego,10/1/2022,County,3370418,215,917533,2,5579,3311,12860841,251,1077990,164,11,175
49539,San Diego,10/2/2022,County,3370418,117,917650,1,5580,2946,12863787,161,1078151,170,15,185
49595,San Diego,10/3/2022,County,3370418,371,918021,0,5580,10248,12874035,426,1078577,180,13,193
49651,San Diego,10/4/2022,County,3370418,318,918339,1,5581,8592,12882627,369,1078946,177,14,191
49707,San Diego,10/5/2022,County,3370418,332,918671,1,5582,7443,12890070,368,1079314,171,24,195
49763,San Diego,10/6/2022,County,3370418,224,918895,0,5582,6529,12896599,282,1079596,166,19,185
49819,San Diego,10/7/2022,County,3370418,247,919142,0,5582,6259,12902858,305,1079901,151,15,166
49875,San Diego,10/8/2022,County,3370418,170,919312,0,5582,3324,12906182,204,1080105,138,14,152
49931,San Diego,10/9/2022,County,3370418,132,919444,1,5583,2947,12909129,185,1080290,142,9,151
49987,San Diego,10/10/2022,County,3370418,280,919724,2,5585,8265,12917394,313,1080603,151,10,161
50043,San Diego,10/11/2022,County,3370418,262,919986,2,5587,8313,12925707,294,1080897,145,10,155
50099,San Diego,10/12/2022,County,3370418,279,920265,3,5590,7392,12933099,313,1081210,144,14,158
50155,San Diego,10/13/2022,County,3370418,254,920519,0,5590,6768,12939867,300,1081510,149,9,158
50211,San Diego,10/14/2022,County,3370418,205,920724,3,5593,6216,12946083,242,1081752,143,11,154
50267,San Diego,10/15/2022,County,3370418,211,920935,0,5593,3315,12949398,238,1081990,137,10,147
50323,San Diego,10/16/2022,County,3370418,117,921052,0,5593,3357,12952755,144,1082134,149,9,158
50379,San Diego,10/17/2022,County,3370418,320,921372,0,5593,8382,12961137,350,1082484,141,13,154
50435,San Diego,10/18/2022,County,3370418,301,921673,0,5593,8555,12969692,307,1082791,130,11,141
50491,San Diego,10/19/2022,County,3370418,299,921972,2,5595,7378,12977070,304,1083095,130,7,137
50547,San Diego,10/20/2022,County,3370418,256,922228,2,5597,7082,12984152,280,1083375,124,10,134
50603,San Diego,10/21/2022,County,3370418,196,922424,1,5598,5122,12989274,208,1083583,107,3,110
50659,San Diego,10/22/2022,County,3370418,150,922574,0,5598,3125,12992399,159,1083742,117,16,133
50715,San Diego,10/23/2022,County,3370418,130,922704,0,5598,2970,12995369,146,1083888,121,6,127
50771,San Diego,10/24/2022,County,3370418,351,923055,0,5598,7914,13003283,358,1084246,101,8,109
50827,San Diego,10/25/2022,County,3370418,274,923329,0,5598,8662,13011945,285,1084531,111,10,121
50883,San Diego,10/26/2022,County,3370418,268,923597,0,5598,6595,13018540,295,1084826,175,9,184
50939,San Diego,10/27/2022,County,3370418,287,923884,2,5600,6864,13025404,298,1085124,122,16,138
50995,San Diego,10/28/2022,County,3370418,245,924129,0,5600,5761,13031165,273,1085397,125,16,141
51051,San Diego,10/29/2022,County,3370418,183,924312,1,5601,3486,13034651,195,1085592,117,17,134
51107,San Diego,10/30/2022,County,3370418,156,924468,2,5603,3212,13037863,178,1085770,134,17,151
51163,San Diego,10/31/2022,County,3370418,356,924824,0,5603,8272,13046135,371,1086141,122,14,136
51219,San Diego,11/1/2022,County,3370418,331,925155,0,5603,8428,13054563,324,1086465,117,16,133
51275,San Diego,11/2/2022,County,3370418,327,925482,1,5604,7550,13062113,337,1086802,186,16,202
51331,San Diego,11/3/2022,County,3370418,333,925815,3,5607,7060,13069173,347,1087149,134,15,149
51387,San Diego,11/4/2022,County,3370418,254,926069,1,5608,6120,13075293,272,1087421,129,11,140
51443,San Diego,11/5/2022,County,3370418,205,926274,1,5609,3636,13078929,217,1087638,130,9,139
51499,San Diego,11/6/2022,County,3370418,196,926470,1,5610,3414,13082343,209,1087847,146,10,156
51555,San Diego,11/7/2022,County,3370418,508,926978,1,5611,9482,13091825,508,1088355,141,10,151
51611,San Diego,11/8/2022,County,3370418,366,927344,0,5611,8075,13099900,379,1088734,140,14,154
51667,San Diego,11/9/2022,County,3370418,413,927757,0,5611,7247,13107147,415,1089149,153,7,160
51723,San Diego,11/10/2022,County,3370418,322,928079,1,5612,6885,13114032,348,1089497,156,12,168
51779,San Diego,11/11/2022,County,3370418,259,928338,2,5614,4902,13118934,300,1089797,156,12,168
51835,San Diego,11/12/2022,County,3370418,278,928616,3,5617,3793,13122727,287,1090084,146,17,163
51891,San Diego,11/13/2022,County,3370418,240,928856,0,5617,3496,13126223,243,1090327,158,13,171
51947,San Diego,11/14/2022,County,3370418,576,929432,2,5619,9516,13135739,574,1090901,145,19,164
52003,San Diego,11/15/2022,County,3370418,587,930019,0,5619,9049,13144788,590,1091491,161,19,180
52059,San Diego,11/16/2022,County,3370418,469,930488,0,5619,7828,13152616,512,1092003,173,19,192
52115,San Diego,11/17/2022,County,3370418,469,930957,0,5619,7264,13159880,482,1092485,186,19,205
52171,San Diego,11/18/2022,County,3370418,404,931361,0,5619,6426,13166306,470,1092955,186,21,207
52227,San Diego,11/19/2022,County,3370418,326,931687,3,5622,3527,13169833,346,1093301,193,16,209
52283,San Diego,11/20/2022,County,3370418,238,931925,0,5622,2798,13172631,249,1093550,200,23,223
52339,San Diego,11/21/2022,County,3370418,680,932605,0,5622,7243,13179874,638,1094188,224,22,246
52395,San Diego,11/22/2022,County,3370418,597,933202,1,5623,6264,13186138,521,1094709,205,23,228
52451,San Diego,11/23/2022,County,3370418,513,933715,2,5625,4948,13191086,472,1095181,213,15,228
52507,San Diego,11/24/2022,County,3370418,211,933926,1,5626,1332,13192418,137,1095318,198,13,211
52563,San Diego,11/25/2022,County,3370418,592,934518,3,5629,3661,13196079,518,1095836,221,15,236
52619,San Diego,11/26/2022,County,3370418,493,935011,0,5629,3288,13199367,405,1096241,236,21,257
52675,San Diego,11/27/2022,County,3370418,471,935482,2,5631,2735,13202102,385,1096626,244,28,272
52731,San Diego,11/28/2022,County,3370418,1264,936746,0,5631,9777,13211879,1124,1097750,286,17,303
52787,San Diego,11/29/2022,County,3370418,1071,937817,1,5632,8871,13220750,943,1098693,298,17,315
52843,San Diego,11/30/2022,County,3370418,936,938753,2,5634,7200,13227950,843,1099536,284,22,306
52899,San Diego,12/1/2022,County,3370418,851,939604,4,5638,7072,13235022,815,1100351,301,20,321
52955,San Diego,12/2/2022,County,3370418,812,940416,1,5639,6154,13241176,701,1101052,333,22,355
53011,San Diego,12/3/2022,County,3370418,508,940924,3,5642,3459,13244635,473,1101525,316,19,335
53067,San Diego,12/4/2022,County,3370418,501,941425,2,5644,2850,13247485,476,1102001,307,23,330
53123,San Diego,12/5/2022,County,3370418,1062,942487,1,5645,9189,13256674,952,1102953,332,20,352
53179,San Diego,12/6/2022,County,3370418,874,943361,2,5647,8518,13265192,793,1103746,345,23,368
53235,San Diego,12/7/2022,County,3370418,835,944196,4,5651,6357,13271549,763,1104509,337,22,359
53291,San Diego,12/8/2022,County,3370418,813,945009,4,5655,6534,13278083,745,1105254,342,19,361
53347,San Diego,12/9/2022,County,3370418,644,945653,1,5656,5664,13283747,592,1105846,359,28,387
53403,San Diego,12/10/2022,County,3370418,440,946093,0,5656,2903,13286650,405,1106251,336,25,361
53459,San Diego,12/11/2022,County,3370418,365,946458,3,5659,2476,13289126,300,1106551,343,33,376
53515,San Diego,12/12/2022,County,3370418,879,947337,2,5661,8216,13297342,782,1107333,376,22,398
53571,San Diego,12/13/2022,County,3370418,879,948216,3,5664,7989,13305331,756,1108089,368,18,386
53627,San Diego,12/14/2022,County,3370418,762,948978,2,5666,6860,13312191,677,1108766,359,24,383
53683,San Diego,12/15/2022,County,3370418,768,949746,2,5668,6297,13318488,646,1109412,370,22,392
53739,San Diego,12/16/2022,County,3370418,686,950432,3,5671,5159,13323647,577,1109989,380,14,394
53795,San Diego,12/17/2022,County,3370418,458,950890,1,5672,2770,13326417,444,1110433,361,14,375
53851,San Diego,12/18/2022,County,3370418,409,951299,3,5675,2986,13329403,402,1110835,382,10,392
53907,San Diego,12/19/2022,County,3370418,894,952193,2,5677,7372,13336775,812,1111647,426,19,445
53963,San Diego,12/20/2022,County,3370418,960,953153,1,5678,6792,13343567,856,1112503,427,21,448
54019,San Diego,12/21/2022,County,3370418,798,953951,6,5684,5692,13349259,678,1113181,421,22,443
54075,San Diego,12/22/2022,County,3370418,818,954769,1,5685,5221,13354480,732,1113913,425,16,441
54131,San Diego,12/23/2022,County,3370418,722,955491,2,5687,3782,13358262,632,1114545,434,23,457
54187,San Diego,12/24/2022,County,3370418,433,955924,5,5692,1830,13360092,352,1114897,393,23,416
54243,San Diego,12/25/2022,County,3370418,229,956153,8,5700,1174,13361266,137,1115034,398,14,412
54299,San Diego,12/26/2022,County,3370418,647,956800,4,5704,4491,13365757,628,1115662,440,22,462
54355,San Diego,12/27/2022,County,3370418,1075,957875,7,5711,6979,13372736,943,1116605,445,20,465
54411,San Diego,12/28/2022,County,3370418,927,958802,3,5714,5894,13378630,824,1117429,456,21,477
54467,San Diego,12/29/2022,County,3370418,821,959623,4,5718,4884,13383514,725,1118154,481,16,497
54523,San Diego,12/30/2022,County,3370418,711,960334,5,5723,3769,13387283,629,1118783,448,25,473
54579,San Diego,12/31/2022,County,3370418,397,960731,1,5724,2046,13389329,357,1119140,414,16,430
54635,San Diego,1/1/2023,County,3370418,190,960921,5,5729,1299,13390628,171,1119311,422,15,437
54691,San Diego,1/2/2023,County,3370418,509,961430,4,5733,4830,13395458,506,1119817,444,15,459
54747,San Diego,1/3/2023,County,3370418,773,962203,6,5739,7326,13402784,652,1120469,439,8,447
54803,San Diego,1/4/2023,County,3370418,672,962875,9,5748,6069,13408853,619,1121088,438,16,454
54859,San Diego,1/5/2023,County,3370418,556,963431,4,5752,5206,13414059,474,1121562,461,19,480
54915,San Diego,1/6/2023,County,3370418,453,963884,10,5762,4270,13418329,409,1121971,441,12,453
54971,San Diego,1/7/2023,County,3370418,322,964206,5,5767,2427,13420756,265,1122236,370,12,382
55027,San Diego,1/8/2023,County,3370418,273,964479,7,5774,2741,13423497,279,1122515,418,11,429
55083,San Diego,1/9/2023,County,3370418,548,965027,6,5780,7284,13430781,453,1122968,437,14,451
55139,San Diego,1/10/2023,County,3370418,439,965466,5,5785,6010,13436791,370,1123338,401,10,411
55195,San Diego,1/11/2023,County,3370418,372,965838,3,5788,5977,13442768,361,1123699,415,14,429
55251,San Diego,1/12/2023,County,3370418,329,966167,2,5790,4699,13447467,298,1123997,378,10,388
55307,San Diego,1/13/2023,County,3370418,293,966460,6,5796,4120,13451587,251,1124248,388,13,401
55363,San Diego,1/14/2023,County,3370418,190,966650,2,5798,1892,13453479,157,1124405,353,21,374
55419,San Diego,1/15/2023,County,3370418,195,966845,3,5801,1995,13455474,170,1124575,347,7,354
55475,San Diego,1/16/2023,County,3370418,250,967095,5,5806,4143,13459617,218,1124793,366,9,375
55531,San Diego,1/17/2023,County,3370418,426,967521,5,5811,7034,13466651,352,1125145,340,11,351
55587,San Diego,1/18/2023,County,3370418,338,967859,1,5812,5680,13472331,291,1125436,373,13,386
55643,San Diego,1/19/2023,County,3370418,317,968176,2,5814,4938,13477269,269,1125705,340,7,347
55699,San Diego,1/20/2023,County,3370418,246,968422,5,5819,4090,13481359,235,1125940,322,17,339
55755,San Diego,1/21/2023,County,3370418,191,968613,1,5820,2228,13483587,171,1126111,285,7,292
55811,San Diego,1/22/2023,County,3370418,160,968773,0,5820,2069,13485656,158,1126269,287,7,294
55867,San Diego,1/23/2023,County,3370418,354,969127,2,5822,7361,13493017,340,1126609,273,6,279
55923,San Diego,1/24/2023,County,3370418,332,969459,1,5823,6051,13499068,303,1126912,293,11,304
55979,San Diego,1/25/2023,County,3370418,309,969768,4,5827,5219,13504287,260,1127172,281,11,292
56035,San Diego,1/26/2023,County,3370418,293,970061,6,5833,4751,13509038,226,1127398,283,10,293
56091,San Diego,1/27/2023,County,3370418,271,970332,2,5835,4004,13513042,248,1127646,277,12,289
56147,San Diego,1/28/2023,County,3370418,181,970513,5,5840,2277,13515319,150,1127796,243,13,256
56203,San Diego,1/29/2023,County,3370418,122,970635,5,5845,1990,13517309,108,1127904,270,7,277
56259,San Diego,1/30/2023,County,3370418,350,970985,4,5849,6052,13523361,308,1128212,234,9,243
56315,San Diego,1/31/2023,County,3370418,345,971330,2,5851,5712,13529073,293,1128505,264,11,275
56371,San Diego,2/1/2023,County,3370418,308,971638,1,5852,5055,13534128,248,1128753,262,11,273
56427,San Diego,2/2/2023,County,3370418,247,971885,3,5855,4388,13538516,200,1128953,281,16,297
56483,San Diego,2/3/2023,County,3370418,243,972128,4,5859,3898,13542414,205,1129158,242,8,250
56539,San Diego,2/4/2023,County,3370418,183,972311,3,5862,2277,13544691,148,1129306,252,11,263
56595,San Diego,2/5/2023,County,3370418,164,972475,3,5865,2050,13546741,148,1129454,277,12,289
56651,San Diego,2/6/2023,County,3370418,388,972863,3,5868,6902,13553643,338,1129792,253,14,267
56707,San Diego,2/7/2023,County,3370418,400,973263,2,5870,5925,13559568,319,1130111,257,13,270
56763,San Diego,2/8/2023,County,3370418,312,973575,0,5870,5218,13564786,243,1130354,259,10,269
56819,San Diego,2/9/2023,County,3370418,308,973883,2,5872,4813,13569599,240,1130594,306,15,321
56875,San Diego,2/10/2023,County,3370418,276,974159,0,5872,4117,13573716,227,1130821,270,11,281
56931,San Diego,2/11/2023,County,3370418,179,974338,3,5875,1995,13575711,139,1130960,277,16,293
56987,San Diego,2/12/2023,County,3370418,153,974491,3,5878,1812,13577523,110,1131070,268,12,280
57043,San Diego,2/13/2023,County,3370418,404,974895,1,5879,5780,13583303,348,1131418,243,12,255
57099,San Diego,2/14/2023,County,3370418,314,975209,1,5880,5569,13588872,259,1131677,242,7,249
57155,San Diego,2/15/2023,County,3370418,321,975530,2,5882,4905,13593777,236,1131913,247,6,253
57211,San Diego,2/16/2023,County,3370418,271,975801,1,5883,4380,13598157,203,1132116,243,10,253
57267,San Diego,2/17/2023,County,3370418,252,976053,1,5884,3089,13601246,195,1132311,238,9,247
57323,San Diego,2/18/2023,County,3370418,181,976234,6,5890,1521,13602767,131,1132442,233,6,239
57379,San Diego,2/19/2023,County,3370418,157,976391,4,5894,1968,13604735,119,1132561,252,8,260
57435,San Diego,2/20/2023,County,3370418,269,976660,1,5895,4336,13609071,236,1132797,226,8,234
57491,San Diego,2/21/2023,County,3370418,374,977034,2,5897,5939,13615010,318,1133115,277,5,282
57547,San Diego,2/22/2023,County,3370418,266,977300,3,5900,4774,13619784,212,1133327,251,11,262
57603,San Diego,2/23/2023,County,3370418,299,977599,2,5902,4464,13624248,238,1133565,224,13,237
57659,San Diego,2/24/2023,County,3370418,256,977855,2,5904,3864,13628112,206,1133771,216,19,235
57715,San Diego,2/25/2023,County,3370418,156,978011,1,5905,1807,13629919,124,1133895,238,22,260
57771,San Diego,2/26/2023,County,3370418,150,978161,4,5909,1767,13631686,124,1134019,257,18,275
57827,San Diego,2/27/2023,County,3370418,308,978469,0,5909,5242,13636928,274,1134293,231,21,252
57883,San Diego,2/28/2023,County,3370418,270,978739,2,5911,5391,13642319,224,1134517,264,15,279
57939,San Diego,3/1/2023,County,3370418,218,978957,6,5917,4210,13646529,167,1134684,225,9,234
57995,San Diego,3/2/2023,County,3370418,210,979167,4,5921,4027,13650556,161,1134845,211,11,222
58051,San Diego,3/3/2023,County,3370418,221,979388,0,5921,3457,13654013,174,1135019,200,6,206
58107,San Diego,3/4/2023,County,3370418,115,979503,3,5924,1646,13655659,109,1135128,202,11,213
58163,San Diego,3/5/2023,County,3370418,113,979616,1,5925,1607,13657266,97,1135225,221,8,229
58219,San Diego,3/6/2023,County,3370418,263,979879,5,5930,5319,13662585,219,1135444,192,7,199
58275,San Diego,3/7/2023,County,3370418,234,980113,5,5935,5037,13667622,168,1135612,227,15,242
58331,San Diego,3/8/2023,County,3370418,219,980332,3,5938,4431,13672053,161,1135773,203,15,218
58387,San Diego,3/9/2023,County,3370418,186,980518,3,5941,3730,13675783,154,1135927,187,10,197
58443,San Diego,3/10/2023,County,3370418,188,980706,2,5943,3079,13678862,152,1136079,198,9,207
58499,San Diego,3/11/2023,County,3370418,135,980841,3,5946,1773,13680635,115,1136194,187,19,206
58555,San Diego,3/12/2023,County,3370418,134,980975,2,5948,1570,13682205,106,1136300,198,11,209
58611,San Diego,3/13/2023,County,3370418,222,981197,2,5950,4838,13687043,183,1136483,190,18,208
58667,San Diego,3/14/2023,County,3370418,220,981417,5,5955,5105,13692148,184,1136667,177,7,184
58723,San Diego,3/15/2023,County,3370418,194,981611,2,5957,4582,13696730,161,1136828,158,5,163
58779,San Diego,3/16/2023,County,3370418,168,981779,2,5959,3859,13700589,156,1136984,163,13,176
58835,San Diego,3/17/2023,County,3370418,157,981936,3,5962,3028,13703617,134,1137118,158,14,172
58891,San Diego,3/18/2023,County,3370418,97,982033,5,5967,1477,13705094,88,1137206,154,12,166
58947,San Diego,3/19/2023,County,3370418,98,982131,0,5967,1272,13706366,65,1137271,166,8,174
59003,San Diego,3/20/2023,County,3370418,187,982318,4,5971,4193,13710559,164,1137435,152,12,164
59059,San Diego,3/21/2023,County,3370418,141,982459,2,5973,4284,13714843,145,1137580,148,16,164
59115,San Diego,3/22/2023,County,3370418,148,982607,2,5975,3620,13718463,144,1137724,145,6,151
59171,San Diego,3/23/2023,County,3370418,160,982767,2,5977,3295,13721758,155,1137879,146,7,153
59227,San Diego,3/24/2023,County,3370418,139,982906,2,5979,2742,13724500,135,1138014,144,13,157
59283,San Diego,3/25/2023,County,3370418,78,982984,2,5981,1698,13726198,92,1138106,135,10,145
59339,San Diego,3/26/2023,County,3370418,65,983049,1,5982,1448,13727646,70,1138176,156,11,167
59395,San Diego,3/27/2023,County,3370418,155,983204,3,5985,3865,13731511,145,1138321,144,6,150
59451,San Diego,3/28/2023,County,3370418,139,983343,2,5987,4181,13735692,132,1138453,146,7,153
59507,San Diego,3/29/2023,County,3370418,125,983468,1,5988,3503,13739195,126,1138579,137,12,149
59563,San Diego,3/30/2023,County,3370418,103,983571,1,5989,2993,13742188,98,1138677,130,4,134
59619,San Diego,3/31/2023,County,3370418,106,983677,1,5990,2253,13744441,115,1138792,135,9,144
59675,San Diego,4/1/2023,County,3370418,71,983748,1,5991,1527,13745968,71,1138863,140,7,147
59731,San Diego,4/2/2023,County,3370418,81,983829,2,5993,1729,13747697,77,1138940,150,9,159
59787,San Diego,4/3/2023,County,3370418,148,983977,2,5995,3839,13751536,151,1139091,138,8,146
59843,San Diego,4/4/2023,County,3370418,133,984110,3,5998,4144,13755680,135,1139226,136,18,154
59899,San Diego,4/5/2023,County,3370418,125,984235,2,6000,3760,13759440,116,1139342,133,23,156
59955,San Diego,4/6/2023,County,3370418,109,984344,2,6002,3410,13762850,117,1139459,137,15,152
60011,San Diego,4/7/2023,County,3370418,123,984467,3,6005,3031,13765881,113,1139572,129,7,136
60067,San Diego,4/8/2023,County,3370418,87,984554,1,6006,1585,13767466,82,1139654,136,11,147
60123,San Diego,4/9/2023,County,3370418,98,984652,3,6009,1255,13768721,97,1139751,148,11,159
60179,San Diego,4/10/2023,County,3370418,173,984825,1,6010,3970,13772691,172,1139923,131,8,139
60235,San Diego,4/11/2023,County,3370418,159,984984,2,6012,4067,13776758,156,1140079,119,16,135
60291,San Diego,4/12/2023,County,3370418,133,985117,3,6015,3387,13780145,124,1140203,121,15,136
60347,San Diego,4/13/2023,County,3370418,121,985238,1,6016,3211,13783356,124,1140327,110,10,120
60403,San Diego,4/14/2023,County,3370418,112,985350,0,6016,2906,13786262,128,1140455,108,10,118
60459,San Diego,4/15/2023,County,3370418,79,985429,0,6016,1476,13787738,90,1140545,121,19,140
60515,San Diego,4/16/2023,County,3370418,67,985496,2,6018,1308,13789046,69,1140614,149,12,161
60571,San Diego,4/17/2023,County,3370418,168,985664,3,6021,3620,13792666,180,1140794,128,17,145
60627,San Diego,4/18/2023,County,3370418,124,985788,3,6024,3697,13796363,133,1140927,115,15,130
60683,San Diego,4/19/2023,County,3370418,107,985895,0,6024,3335,13799698,109,1141036,120,18,138
60739,San Diego,4/20/2023,County,3370418,106,986001,0,6024,3231,13802929,118,1141154,116,18,134
60795,San Diego,4/21/2023,County,3370418,83,986084,1,6025,2804,13805733,85,1141239,120,14,134
60851,San Diego,4/22/2023,County,3370418,73,986157,2,6027,1218,13806951,76,1141315,114,17,131
60907,San Diego,4/23/2023,County,3370418,65,986222,0,6027,1282,13808233,71,1141386,130,17,147
60963,San Diego,4/24/2023,County,3370418,148,986370,1,6028,3535,13811768,139,1141525,105,14,119
61019,San Diego,4/25/2023,County,3370418,130,986500,1,6029,3680,13815448,139,1141664,101,14,115
61075,San Diego,4/26/2023,County,3370418,106,986606,0,6029,3158,13818606,113,1141777,102,15,117
61131,San Diego,4/27/2023,County,3370418,70,986676,0,6029,2821,13821427,82,1141859,113,16,129
61187,San Diego,4/28/2023,County,3370418,90,986766,0,6029,2554,13823981,97,1141956,100,15,115
61243,San Diego,4/29/2023,County,3370418,45,986811,0,6029,1114,13825095,58,1142014,100,14,114
61299,San Diego,4/30/2023,County,3370418,42,986853,0,6029,1291,13826386,43,1142057,121,17,138
